index,tweet,label
10016,Every day should be Earth Day! Nothing more to add here #earthday2022 #earthday #climatecrisis #greenwashing #fridaysforfuture #extinctionrebellion #biodiversitycrisis #biodiversityloss #biodiversity #nature #environmentaljustice #ecologicaljustice #socialjustice #transformation https://t.co/1kil83KQiR,0
10017,"You can barely Hear the Bulldozers on FAR End of Timber Sale making the other Logging Road to MEET UP with this Logging Road, End of the Road. 
9/02/2022--&gt;
#climateactionnow #oldgrowthlogging #deforestation🙏🏻😞 #deforestationawareness #fridaysforfuture
https://t.co/1VXUuK3SwO",0
10018,"@MazirweSarah @EUinUG @EUClimateAction @EU_ENV @CCD_UG @min_waterUg @NatureUganda @Kampala4Climate @ubf_info @nemaug @braxil6 @RonohClinton @Balaam_256 @AKasingye @sammiemanini1 @omwambaKE @EstherBirungi4 @ViolaHappiness @christokiiza @JNKamoga @moseskoshland @Kamuganga @AaronKaviiri I surely agree with you @MazirweSarah. We must re-use but most importantly reduce on plastic usage in our communities.
By beating #plasticpollution, we shall be promoting #ClimateAction since we will be saving life on land &amp; under water.
#FridaysForFuture activists agree on this.",0
10019,"•Week 19•

The Time Is Ticking,And We Have No Chance For Saying, ""We'll Do This/That Tomorrow,For The Environment,ACT NOW!"" 

#ActNow 
#FridaysForFuture 
#ClimateActionNow 

@Fridays4future 
@FFFMAPA 
@Riseupmovt 
@UNEP 
@spicewarriors_ https://t.co/IWs0cIYTpn",0
10020,"I give a 💩 about my nieces and the world they were born into, and that's what drives me on the days I don't give one.

#FridaysForFuture https://t.co/E6vIsyAxFU",0
10021,Major climate denier Pat Michaels has died.  Don’t really know how to feel about that.  About 30 years ago I saw him take on two of our most savvy climate scientists in a hearing and he bested them.  His denier’s legacy is absolutely AWFUL.  #ActOnClimate #FridaysForFuture,1
10022,"Prioritize Life not death! #PeopleBeforeProfit

Safer local energy! #ClimateCrisis!

Stop #FossilFuels!

twiff Activists' Awesome work!

https://t.co/enBwrzhUBh

❤️🇺🇦🇾🇪☮️🌍🌏🌎🌳🌱🌿🌺🌼🏵️🌻🌞🦋

#FridaysForFuture.org/map

#EarthDay

#Twiff, 1, #ClimateCrisis, USA, Los Angeles",0
10024,My week 18th #ClimateStrike in Japan🇯🇵 #FridaysForFuture https://t.co/8ooOD2ftbt,0
10025,"While Gen X is in the driver seat, Millennials are best to support the Norwegian approach to #ClimateChange during the 2020s.
#ClimateCrisis #auspol #LNPfail #ActOnClimateVic #FridaysForFuture #Faiths4Climate
https://t.co/GuFwbWdZnM",0
10026,"U wil nevr see thm in streets striking b'se nobdy told thm the source of their sufferings #climatechange
U wil nevr hear thm speak b'se they knw no English, German, French 2 express their sufferings
I, we demand 4 #ClimateJustice on behalf of suffering #African 
#FridaysForFuture https://t.co/ayeV8h1aXi",0
10027,"#DigitalStrike week 128
We are about to MISS the 1.5C target and still increasing #FossilFuel production instead of #RenewableEnergy. 
#ClimateActionNOW!
#ClimateStrikeOnline
#FridaysForFuture
#BoomersForClimateJustice
@ClimateCrisis @POTUS @VP @ClimateEnvoy https://t.co/olGozVxJ9Q",0
10028,"#Greenwashing #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming #ClimateChange #FridaysForFuture #ClimateStrike #Renewables 

You've been fooled by Greta Thunberg:",1
10029,"There is need for climate change #education in schools and more nationwide communication campaigns addressing the #ClimateChange effects.
#ClimateAction 
#ClimateCrisis 
#FridaysForFuture https://t.co/AKrTIEitz4",0
10030,"thousands of people on the streets again today! 
@GretaThunberg, you're an in inspiration!

#GlobalClimateStrike #FridaysForFuture 
#Scientists4Future

(thanks #RaveForPeace for a good vibes in Leipzig) https://t.co/MOtttN1kEg",0
10032,"Stop driving, stop flying #bethechange #leaveoilintheground #stopecocide #fridaysforfuture",0
10034,"#ExtinctionRebellion      #ClimateCrisis #ClimateAction  #GlobalWarming    #FridaysForFuture #ClimateChange #Greenwashing #Renewables    #ClimateStrike 

You've been fooled by Greta Thunberg:",1
10035,"Do you want to show many people demand #ClimateJustice? 
Put your strike on the map! The #FridaysForFuture map WG will reinforce the climate movements to spread its message to scientists, journalists, politicians and other FFF activists. https://t.co/HcOD0vGJPN https://t.co/SkWJALjCvS",0
10036,"Gas and nuclear are not green! 
The new #EUTaxonomy is not safeguarding our future. It needs to be changed. Replacing coal with gas is greenwashing. Drop the GREENWASHED TAXONOMY!! @EU_Commission #notmytaxonomy #stopfakegreen #fridaysforfuture @vonderleyen @McGuinnessEU",1
10037,"One more reason why we urgently need transformative economic and tax reforms that make climate-positive choices cheaper than climate-negative alternatives. 
Demand change every #FridaysForFuture at 11 at your legislature or city hall.",0
10038,"#ONS2022 Look Up! Keep Oil and Gas in the Ground! A message from #FridaysforFuture groups from across the planet! Our letter to
@ONS_Stavanger: https://t.co/bTvgvDl9GN #Stavanger #Norway #FridaysForFuture
@jonasgahrstore @jcvestre @EquinorASA @bp_America @elonmusk https://t.co/ZB6Tm43KWa",0
10039,"ONLY ONE DAY UNTIL THE #ClimateStrike!!! 🔥

ONE YEAR AGO #COP26 LEFT US WITH NOTHING BUT MORE BROKEN PROMISES 🌍

NOW WE MARCH AGAIN FOR CLIMATE JUSTICE ✊

JOIN US ON KELVIN WAY TOMORROW AT 11AM 💚

ITS TIME TO #UprootTheSystem

#FridaysForFuture #TheKidsAreNotAlright https://t.co/6UjY9djsCv",1
10040,"It is time for all U.K. citizens to call out the hypocrisy of their Conservative government. Clearly, their stated climate goals are nothing more than the worst kind of greenwashing. Time to protest in massive numbers at #FridaysForFuture marches and demonstrations.",1
10041,".
#climatechange myth buster #video via @youtube 

 https://t.co/xLs8JfqTjY

Please share/ retweet

#energy #climateaction #climate #renewables  #actonclimate #ClimateEmergency #globalwarming #fridaysforfuture

@theToddHirsch @Astartiel @Lalaej @snband4",0
10043,"Let us celebrate the PLANET and take care of EARTH 🌏 

#Climatechange #ClimateStrike #ClimateAction #ClimateCrisis #savetheearth #savetheplanet
#FridaysForFuture #Bangladesh https://t.co/xrwYnQuDJw",0
10045,This climate emergency is too real to not freak out #UprootTheSystem #FridaysForFuture #ClimateCrisis #Greta #Risetothechallenge #RiseUp,0
10047,Act to protest the #ClimateCrisis tomorrow. #FridaysForFuture,0
10048,"Leave no one behind, School strike for climate action #FridaysForFuture #PeopleNotProfit #ClimateEmergency https://t.co/eecnwHL9ww",0
10049,"Will we reduce the number of cars 100 times 
Or build billions of batteries and kill with it our planet?

#FridaysForFuture #Greenwashing #ClimateChange #ExtinctionRebellion #ClimateStrike #ClimateAction #GlobalWarming",0
10050,"So it IS possible to have 100% renewable energy grid !! @Stanford just proved it!!

https://t.co/Xrm665eXeV

#FossilFuels
#ClimateCrisis
#FossilFuelSubsidies
#Pollution
#PlasticPolluton
#FridaysForFuture
#ClimateTalk
#stopfossilfuel
#ClimateChange
#BeLikeWater
#SavetheBees",0
10051,"#FridaysForFuture #Climatestrike week 215 map results
Reporting rate 8%
753 people
507 events
in 223 cities
in 66 countries

Check out the lists for more detail https://t.co/e0M6oR4Y9Z https://t.co/L2FJsGBuzv",0
10052,"#Big #Idea. Let us take #FFF #FridaysForFuture to next level towards new world society.
.
#dedicate your fridays for balanced green activities. 
. 
abandon #office, #clasroom, #industry &amp; join #gardeners #Horticulturists #Groundskeepers #Foresters #conservationists https://t.co/8CWWTAi2HZ",0
10054,"There’s no denying human activity has driven climate change. But our actions can also change things for the better.

https://t.co/iBGUbWNXLs

#FridaysForFuture
#ClimateCrisis
#ClimateStrike
#ClimateDenial
#EndFossilFuels
#ClimateTalk
#stopfossilfuel
#ClimateChange
#BeLikeWater https://t.co/Qw444IKKjO",0
10055,"Effective #ClimateAction messaging is:

- Patient✅
- Persistent✅
- Personal✅
- Public✅

We HAVE #ClimateCrisis solutions, folks.📚👍

What we need ASAP is a majority of the global public demanding to implement them ASAP.🌐🙂📈

#FridaysForFuture #ClimateChange #ClimateStrike",0
10056,Mt. Fuji at dawn of 2022. #ClimateJustice #FridaysForFuture Stop the construction of SukaTan (Yokosuka Coal-Fired power plants.) #NoNukes #JusticeForMyanmar #BLM https://t.co/vpjqBz9dOQ,1
10057,"Students, Teachers and Schools taking action on #ClimateChange https://t.co/M0PsO2a7rY #ActOnClimate #FridaysForFuture #GreenSchools #EnvironmentalEducation #STEM @FinancialTimes",0
10058,"Adding your #ClimateStrike to the map.
Want to know how to do it yourself? You can find the manual in the bot's bio!
#twiff, 100, #FridaysForFuture, Egypt",0
10059,"@antonioguterres Ask @GretaThunberg and the #FridaysForFuture crew in countries where they dont risk being shot or land mines, to Use #Slingshots and #Seedballs to revegetate erosion gullies and deforested hillsides",0
10060,"🗣️📢🆘🔥🌊🌍🌊🔥🆘🌿👇 Solidarity Sarah..! @Sarahhh_lndian and fellow strikers..! ✌️💚🌱
Week #89 #ClimateStrike in Lucknow, India 🇮🇳 🗣️📢🌍❤️
#FridaysForFuture #ClimateStrike 
#PeopleNotProfit",0
10061,"""Even though the climate forecasts are terrifying, I still believe we can have hope. We have to. There isn't any other option."" 

#Youth4Climate #FridaysForFuture #ClimateActionNow  🇱🇸 https://t.co/u7H8RQ1tyU",0
10062,"We totally failed to achieve targets of the SDGs because we weren't committed enough!
We now have an extraordinary opportunity to act &amp; commit to #ClimateAction if we want to secure our planet and our future.

#Ghana4ClimateJustice
#FridaysForFuture https://t.co/rihBXWdDw2",0
10063,A new member joined us for our weekly climate strike today! #fridaysforfuture #PeopleNotProfit #ClimateActionNow https://t.co/eAO4SBuG47,0
10064,Elizabeth May and #ParrySound #Muskoka Green candidate Matt Richter will be in #Bracebridge this week attending the #FridaysforFuture climate strike. Climate Action Muskoka invites everyone to come walk and talk with Elizabeth May. https://t.co/fsM5MMv9Rm,0
10065,"Recycling is literally a scam

https://t.co/rxpv1ppwQK

#FridaysForFuture
#ClimateCrisis
#ClimateStrike
#ClimateDenial
#EndFossilFuels
#Klimatalliansen
#ClimateAlliance
#twiff
#ClimateTalk
#StandWithUkraine️
#stopfossilfuel",1
10066,"May we continue to be steadfast in focusing on @OurKidsClimate and urgently ensure a livable future for all Creation- #WaterIsLife #FridaysForFuture Thank you for your #leadership, @vanessa_vash #leadershipmatters",0
10068,"Week 106. Pakistan is one of the countries least responsible for the climate crisis, yet it’s suffering the most. The EU must end fossil fuels and pay reparations to the most affected people and areas. #ClimateReparationsForPakistan #ClimateSolidarity #FridaysForFuture https://t.co/Ug5sxgdUAz",1
10069,@gretathunberg School strike week 193. #FridaysForFuture #ClimateStrike #PeopleNotProfit #SchoolStrike4Climate @ https://t.co/d5n1PwIm0q.muzic https://t.co/81Cx2clvU2,0
10070,"🗣️📢🆘🔥🌊🌍🌊🔥🆘🌿👇
Solidarity Greta @GretaThunberg and fellow strikers.! ✌️💚🌱
School strike week 217: 
SKOLSTREJK FOR KLIMATET
#FridaysForFuture #ClimateStrike #PeopleNotProfit #bijikurdistan",0
10071,"He also talked about @GretaThunberg who helps lead the way in #ClimateAction with her #FridaysForFuture campaigning, and @Malala who is well known for her women's education and equality campaigning after being shot for going to school as a child.

#InspirationalWomen #IWD2022 https://t.co/WIkl9ib5ks",0
10073,"Speak up for bicycles in your community.
#AirPollution #Mobility #bicycles #ClimateCrisis #cargobikes #CleanAir #cycling #bicycles #FridaysForFuture",0
10074,Week 143 of #fasting on #Fridays for the #ClimateCrisis. Week 143 of striking from working &amp; shopping for the #ClimateEmergency. #PeopleNotProfit #MindTheGap #UprootTheSystem #GlobalWarming #FridaysForFuture #climate #ClimateStrike #ClimateJustice #ClimateAction #ClimateActionNow https://t.co/B61dHlv9xS,0
10075,"Less cars, more future 
#fridaysforfuture https://t.co/H63JxdnZMM",0
10077,"Week #79 #ClimateStrike in Lucknow, India 🇮🇳 📍 
 Act Now.🚨
#FridaysForFuture #ClimateStrike #PeopleNotProfit #plasticban #slum #Schoolstrikeforclimate #Plogrun #SchoolStrike #SwapnaFoundation 
@GretaThunberg @LicypriyaK @Fridays4future https://t.co/ojmmrULwi7",0
10078,"Climate strike week 197

Join the youth of the world today as we demand
#PeopleNotProfit 
PEOPLE Not More Oil, Gas &amp; Fracking
PEOPLE Not Droughts, Flooding &amp; Fires
Loss &amp; Damage Finance NOW! 
Reparations Not Procrastination

#schoolstrike4climate #FridaysForFuture #ClimateStrike https://t.co/hAXN0yuwbF",0
10079,"#Antarctica 50 to 90 degrees above normal. 🥵

Time to consider an #ev, #solar, insulation &amp; a heat pump? Be part of the solution instead of the problem, save money and end support for murderous dictators. 

#FridaysForFuture #SaturdayMotivation 

https://t.co/IFpfYsAPol",0
10080,"This Friday, let's have a chat about Clime DAO! Join our founder Jasveen Kaur on discord and get to know our motto, and what you can expect from us. See you there!
#climatechange #climateaction #fridaysforfuture #web3

https://t.co/JW54mkcefB https://t.co/pUrxeUQQmh",0
10081,So glad to have been out for the #FridaysForFuture in Saskatoon last Friday. It was just warm enough to play my trumpet!!,0
10082,"Here's solid advice directly from experts on what YOU can do to fight manmade #climatechange via effective #ClimateAction:

https://t.co/bNBrPzSAn8

https://t.co/h1zFelrKvl

https://t.co/8u01AoyZsO

https://t.co/vb6MHxPqhP

#ClimateCrisis
#ClimateEmergency
#FridaysForFuture",0
10084,"Week 84th #climatestrike 
Global warming is a global problem. #ClimateActionNow #FridaysForFuture https://t.co/eV5pTxXXTF",0
10085,"So now the Palm Oil Industry is trying to rebrand deforestation as ""reforestation""..

I can't describe how angry this makes me!

When will humanity learn that advertising doesn't fix the crisis we are in!?!

#ExtinctionRebellion #TalkingClimate @Lets_Discuss_CC #FridaysForFuture",1
10086,@EnergyOfOz @EnergyWrapAU Or participate in the next #FridaysForFuture wearing it....,0
10088,At @ScotParl with hundreds of striking #Edinburgh school kids here to demand action on #climatechange @FFF_Scotland #FridaysForFuture @YFoES https://t.co/YAJbjL5U7l,0
10089,".#ClimateStrike for Wildlife

More than 100 elephants have died due to the drought in Kenya. 

The climate crisis is a biodiversity crisis. We need action to save keystone species @UNBiodiversity 
#COP15 @GretaThunberg @Fridays4future #FridaysForFuture 
 @vanessa_vash https://t.co/mCI1MwLY2N",0
10090,"#ClimateCrisis  #ClimateAction   #GlobalWarming #FridaysForFuture     #ClimateChange  #Greenwashing #Renewables   #ClimateStrike   #ExtinctionRebellion         

You've been fooled by Greta Thunberg:",1
10091,"#FridaysForFuture #Climatestrike week 222 map results
Reporting rate 9%
245 people
446 events
in 195 cities
in 56 countries

Check out the lists for more detail https://t.co/e0M6oR4Y9Z

Record your own work here
https://t.co/bSwVM9ODIJ https://t.co/gojJVac4jv",0
10092,"Our leaders aren't leading. Instead it's been left to young people to fight for our planet. 

Let's join them. Let's create hope.

#TheKidsAreNotAlright
#ClimateStrike
#FridaysForFuture

@GretaThunberg @vanessa_vash @GreenpeaceUK @Fridays4future @parents4future @FFF_Sweden https://t.co/8VNSH1uhZa",1
10093,"Stop fossil fuels subsidies today, shut down coal mining tomorrow and shut down coal-fired power plants yesterday. Demand clean air at 11 a.m. every #FridaysForFuture at our legislatures and city halls. Or don't, and tell our grandchildren that an hour a week was too much trouble",0
10094,"#FridaysForFuture  #ClimateChange #Renewables #Greenwashing  #ExtinctionRebellion  #ClimateStrike #ClimateCrisis  #ClimateAction #GlobalWarming               

You've been fooled by Greta Thunberg:",1
10096,"We need to act now...!!! People over profits.Let's preserve mother nature,Let's save our climate...#ClimateCantWait #ClimateStikeOnline #RiseUpMovement #ClimateAction #ClimateActionNow #FridaysForFuture #MindTheGap https://t.co/6c6noBf7kY",0
10097,"Today's reminder ⤵️

Africa is responsible for only 3% of the global Carbon emissions.
#FridaysForFuture @Riseupmovt https://t.co/FCzceZeVsC",0
10099,@intlibecosoc #FridaysForFuture should be messaging Europeans to be ditching all fossils fuels (incl absolutely Russian gas) and to cease war immediately because of the catastrophic implications for the planet.,1
10100,"Climate Change is, without a doubt, one of the most pressing issues of our time. Adapting to the challenges is a huge task that demands bold solutions. Join us tomorrow at 7 PM PHT as we discuss impactful efforts around Climate Change Adaptation. See you there! #FridaysForFuture",0
10101,"#FridaysForFuture  #ClimateChange #Renewables #Greenwashing  #ExtinctionRebellion  #ClimateStrike #ClimateCrisis  #ClimateAction #GlobalWarming               

You've been fooled by Greta Thunberg:",1
10103,"Happy birthday @GretaThunberg
Thank you for everything 💚✊

""People in power do not seem to give a damn about us""
""We want change and we are the change!""
100 000 at #FridaysForFuture
24. Sept. 21 Berlin https://t.co/mQsOF3zca1",0
10106,Climate strike week 228. The climate crisis doesn’t go on holiday. #FridaysForFuture #ClimateStrike #PeopleNotProfit #GretaThunberg,0
10110,"The proverbial ""cow in the room"" is oft overlooked when it comes to finding solutions to the climate crisis. 

The best thing anyone can do right now is to take meat off their plates. 😊🌱🌱

#climatecrisis #FridaysForFuture #CarbonFootprint #meat #goVegan https://t.co/d1o3eAcB2l",0
10111,"We cannot adapt to Starvation 
We cannot adapt to #LossAndDamage 
Face the #ClimateEmergency 

#climatestrike #FridaysForFuture #Mapa
@Riseupmovt @RiseupmovtKe 
@vanessa_vash @GretaThunberg https://t.co/nriW7Icjue",0
10112,#FridaysForFuture in Durham yesterday with Grandparent Climate Action Durham (why not check out their Facebook page) and XR grandparents. https://t.co/chxSzeby4p,0
10114,"@GretaThunberg Excellent work with do many countries and people!

Don't forget to #twiff
#FridaysForFuture #ClimateStrike
#ClimateCrisis

https://t.co/jZQ2Npr4P9",0
10115,"This week I was in Aberdeen again for my #FridaysForFuture #SchoolStrike4Climate 🏴󠁧󠁢󠁳󠁣󠁴󠁿❤️ sitting here demanding Climate justice, and a just transition for all, on the last day of term. #ClimateActionNow https://t.co/3HrHXXt10G",0
10116,‘Not the future we should be going for’: the reopening of Wales’s Aberpergwm coalmine - Arrgh! #YouthStrike4Climate #SchoolStrike4Climate #FridaysForFuture #ExtinctionRebellion https://t.co/WmPPkoPLC1,0
10118,"Apocalypse now? The alarming effects of the global food crisis.. 

And the climate crisis will only add fuel to the fire, needless to say..

https://t.co/dsw0yCACRC

#FridaysForFuture
#ClimateCrisis
#ClimateStrike
#ClimateDenial
#ClimateTalk
#StandWithUkraine️
#stopfossilfuel",0
10119,"#ExtinctionRebellion     #ClimateCrisis #ClimateAction  #GlobalWarming     #FridaysForFuture  #ClimateChange #Greenwashing   #Renewables      #ClimateStrike 

You've been fooled by Greta Thunberg:",1
10120,"@great_thunberg @SaleemulHuq Maintain your image and reputation Greta, we will do the dirty work and force them to bow to you.
If you ruin your image they no longer can talk to you.

Much like MLK be MLK,
We will be the black Panthers.
#ClimateCrisis 
#FridaysForFuture",1
10122,It's Friday and my support goes to #FridaysForFuture #ClimateStrikeOnline #ClimateStrike,0
10123,"#GlobalWarming #FridaysForFuture #ClimateChange #Greenwashing #Renewables  #ClimateStrike  #ExtinctionRebellion #ClimateCrisis  #ClimateAction     

You've been fooled by Greta Thunberg:",1
10124,"#FridaysForFuture #Helsinki 💚🇫🇮

We demand urgent #climateaction. EVERY Friday from 10-12 on the stairs of the Parliament of #Finland. Come join us whenever works for you! Everyone is warmly welcome🤗 #climate #climatecrisis #climatestrike #ilmasto #ilmastokriisi #ilmastolakko https://t.co/MIruySZDYY",0
10125,"Stealing water and polluting waterways is very profitable- Attention! Recycled plastic bottles leach more chemicals into drinks, review finds
https://t.co/Zusl5eN6h9
#cocacola #Nestle @GretaThunberg #FridaysForFuture #waterislife2022 #water",0
10126,Strike with us next Friday and share your pictures with the hashtag #FridaysForFuture,0
10127,"&gt;&gt; @GretaThunberg: 'School strike week 188. Thousands of people showed up to the climate strike in Stockholm! #FridaysForFuture #PeopleNotProfit #ClimateStrike ' https://t.co/l2DWUZ7wus, see more https://t.co/YznSRbytEM",0
10128,"@EliotJacobson Population is intrinsically linked to #RESOURCE usage, obviously! #ResourceSecurity

&amp; now pollution/waste/#CarbonEmissions

(...A global pandemic &amp; a serious global fertility/lack of births issue???)

We live NOW, in the future, nowhere else! #FridaysForFuture",0
10130,Greenpeace: RT @GretaThunberg: Climate strike week 208. #FridaysForFuture #ClimateStrike https://t.co/9QCF9y1UTx,0
10132,"So #FossilFuels are essentially now just skanky #LazyLandlords speculating against their own tenants basic comfort/transport, where the actual LOWER PRICE never ever gets passed to the consumer.

#CarbonTaxes #InternationalCarbonCharges
#ClimateActionNow

#FridaysForFuture",1
10133,"Even before #stormmalik arrives, UK wind farms are generating 15.94GW (37.35% of our electricity), more again than any other source. Wind power, both on and offshore is essential as part of our energy mix.#FridayFeeling #FridaysForFuture #storm https://t.co/bLcyWxQpUe",0
10136,"Adding your #ClimateStrike to the map.
Want to know how to do it yourself? You can find the manual in the bot's bio!
#Twiff, 1, #FridaysForFuture, Japan, Tokyo
Please announce your #GlobalClimateStrike on the map https://t.co/p9Y5Cv5PgP",0
10139,"@MikeHudema @jjhorgan @bcndp #Savefairycreek’This is a War in the Woods‘- Nature always strikes back! Over 1,100 people have been arrested defending forests that should have always been protected. Only a few iconic old growth forests remain in #BritishColumbia 
https://t.co/RmaZpUmckh
#FridaysForFuture",0
10140,"We have to protect the forests. Many communities and regions around the world, especially in Africa still depend highly on forest wood for energy. If we are going to save our planet, we need to act now by providing sustainable alternatives.

#FridaysForFuture",0
10141,"#ClimateCrisis  #ClimateAction #GlobalWarming    #FridaysForFuture #ClimateChange #Greenwashing #Renewables    #ClimateStrike  #ExtinctionRebellion       

You've been fooled by Greta Thunberg:",1
10142,"#Klimaerwärmung? RUSSIA PLUNGES TO -61C; RECORD-COLD AND SNOW-CHAOS HIT THE UK, SENDING ENERGY PRICES TO UNPRECEDENTED HIGHS;AUSTRALIA BUSTS 20+ MONTHLY LOW TEMPERATURE RECORDS. #Klimawandel #Klimaschwindel #Klimakrise #Klimakatastrophe #Fridaysforfuture https://t.co/aVmosHzgUF",0
10145,It's Friday and my support goes to #FridaysForFuture #ClimateStrikeOnline #ClimateStrike,0
10146,"📍Mymensingh 
Global Climate Strike
🇯🇵 stop financing coal in #Matarbari.  
Polluters must Pay #Reparations, Limit emissions!
#LossAndDamage Finance NOW✊
#PeopleNotProfit #FridaysForFuture 
#peoplenotprofit 
#youthnetmymensingh @GretaThunberg https://t.co/NIliZZ1wzT",0
10148,"10 #ClimateChange Movies To Watch in 2022

""From older documentaries to the latest blockbusters, here is a list of the best #ClimateEmergency movies to watch this year""

#ClimateCrisis #FridaysForFuture

https://t.co/y1EsBiuTMK",0
10149,"#GlobalClimateStrike, week 151:

Meet @AndriMagnason, an Icelandic writer who believes stories can inspire change for our planet.
https://t.co/uYDNNGGRBM

#ItsTimeToAct #Glaciers #Ice #RisingSeas #FridaysForFuture #ClimateEmergency #Legacy #Iceland🧵",0
10151,"GretaThunberg: School strike week 198. Thousands are marching on the streets of Stockholm to demand climate justice!
#RöstFörRättvisa #PeopleNotProfit #FridaysForFuture #ClimateStrike https://t.co/9o606FIO2V",0
10152,"If interested, pick up your #EarthDay2022 #EarthDayEveryDay #EarthDay #FridaysForFuture copy at https://t.co/68qbEJ5gHJ",0
10154,Spent my final hours in #NYC joining the #FridaysForFuture Global Climate Strike! Absolutely exhilarating to meet activists of all ages united in cause for #PeopleAndPlanet 🌏 https://t.co/BBoX6Q8z36,0
10155,"#FridaysForFuture #FridayLevity #DarkHumor #PeopleNotProfit #UprootTheSystem #ClimateJustice
#ClimateStrike #ClimateActionNOW

Elon Musk's Jet
@ElonJet
Tracking Elon Musk's Private Jet #pollution

https://t.co/pNtSbHj2JZ

https://t.co/yh1yN5rDJ5",0
10156,"Developing without considering #ClimateAction affects us back.
#ClimateChange is real &amp; it kills; causes #extinction.
The #Earth demands for #ClimateJustice.
@GretaThunberg @vanessa_vash @NakabuyeHildaF @min_waterUg @mitzijonelle @UNEP 
#FridaysForFuture #StopEACOP https://t.co/N3UrTPF2mA",0
10157,@jruddy99 @dj_forrester @AlexRowleyFife Scotland is not a country on the list hence the reason Sturgeon is not a delegate and instead promoting herself hanging out with #FridaysForFuture teenagers outside the event eating haribos &amp; taking selfies… this is the mug that we have running Scotland! 🤬,1
10158,"Global Climate Strike in #Aligarh  #UttarPradesh #India 🇮🇳📍 

Due to heavy rainfall the strike was postponed and it took place today. 

#FridaysForFuture #ClimateStrike
#PeopleNotProfit #GlobalClimateStrike 
#Schoolstrikeforclimate @GretaThunberg @LicypriyaK @Sarahhh_lndian https://t.co/JcvN9QoDU4",0
10159,"@juneslater17 What shocks me most are the politicians, that pretend to care about our climate while promoting war or try to greenwash the use of atomic power etc.

Let's also not forget the brave people, who exposed important information about #ClimateCrimes #FridaysForFuture
#FreeAssangeNOW https://t.co/mJhoFJjob2",1
10161,"This week is the 200th week anniversary of #FridaysForFuture.
We celebrate the actions of all activists, whether this is your week 1 or your week 200.
For 200 weeks now we have been demanding #ClimateAction, all we got was Blah Blah Blah.
We need to...
1/",0
10162,"#ClimateStrike #Renewables #Greenwashing  #ExtinctionRebellion #ClimateAction #ClimateCrisis #GlobalWarming  #ClimateChange #FridaysForFuture 

Tell the truth, a Renewable future will kill us all.
Read real CO2 emissions with Data:",0
10163,"For the record, I am willing to pay slightly more for gas to save humanity + the earth 🌎 

Price controls can also be used

Tyrants gunna tyrant

#DontLookUp #CarbonCost
#FridaysForFuture #ClimateEmergency #CostOfLivingCrisis",0
